stock,time,prices,shares
BDN.PR.E,09:36:33.15,22.71,55
ALL.PR.B,09:35:09.18,24.05,1
GAIA,09:37:16.25,6.73,100
UBP.PR.F,09:31:45.70,23.28,400
THYCY,09:38:10.40,38.69,500
GAIN,09:37:12.53,8.05,27
PUK.PR,09:30:00.80,24.78,1200
GRID,09:30:00.60,36.05,2
GRIF,09:36:49.63,34.08,1
AQPVF,09:30:00.80,0.156,150
NINOY,09:30:00.60,19.25,5
TAC,09:37:51.38,12.67,100
PLCE,09:38:11.30,57.28,100
TAI,09:37:54.83,20.87,700
TAL,09:37:46.35,57.18,100
SUNS,09:36:49.40,18.31,5
TAN,09:37:31.88,35.12,15
TAM,09:36:49.25,20.22,9
TAP,09:38:03.78,55.32,1
TAO,09:37:20.25,19.91,153
GWPRF,09:30:14.40,3.45,132
TAT,09:37:28.15,0.8698,100
TAS,09:31:54.93,1.0299,200
TAX,09:37:42.68,24.54,3
OIBR,09:38:03.03,1.5199,4900
NPSKY,09:36:41.20,24.58,100
GRLT,09:30:12.80,0.95,88
HDNG,09:36:49.48,14.62,5
TBF,09:37:50.90,32.902,1000
TBI,09:37:54.58,25.62,22
TXRH,09:37:47.80,27.74,100
SUMR,09:30:00.40,1.81,100
CWBK,09:33:24.00,13.65,100
CAC,09:37:28.05,42.23,4
CAB,09:37:59.85,66.474,100
CAE,09:37:05.78,12.72,100
TBT,09:38:09.13,79.38,300
IGOV,09:35:43.45,99.5,9
CAG,09:38:09.35,33.53,73
CAF,09:36:55.05,23.6504,50
CAH,09:38:06.20,66.36,100
TBX,09:33:10.43,33.75,100
CAK,09:37:44.18,1.4514,60
FOHL,09:36:55.80,0.2622,1999
CAJ,09:38:05.83,31.8,100
TBZ,09:33:19.08,32.48,100
CAM,09:38:06.28,59.29,100
JJSF,09:37:56.20,88.47,8
TCB,09:38:05.88,16.12,27
CAP,09:36:49.23,23.47,8
SDLP,09:36:19.28,30.56,32
RAIL,09:36:49.30,26.51,5
CAS,09:38:09.85,14.78,100
CAR,09:38:14.05,40.39,48
TCC,09:32:48.18,25.8001,100
CAT,09:38:13.48,90.14,100
WRCDF,09:31:11.20,39.01,17
TCI,09:30:01.35,9.82,5
TCK,09:38:10.10,25.79,100
SUNE,09:38:06.00,13.12,100
RRMS,09:36:31.05,38.62,3
TCP,09:36:32.15,48.06,100
TCO,09:38:14.05,64.04,100
CBB,09:36:48.68,3.55,87
GALT,09:36:53.38,7.99,100
CBA,09:36:31.20,17.7214,2500
GRNH,09:37:32.40,0.046,24000
CBD,09:37:56.03,43.94,99
SUTNY,09:37:18.20,5.25,2205
TCS,09:37:55.03,46.24,100
CBF,09:37:57.58,22.575,14
SUPN,09:37:54.78,7.4501,50
TCX,09:35:17.68,13.2439,41
GRNL,09:31:35.40,0.042,999
CBG,09:37:57.40,26.1613,117
ROHCY,09:36:12.40,24.17,73
AHEXY,09:35:37.40,38.97,100
CBI,09:37:58.08,82.02,100
CBL,09:38:11.68,17.98,100
CBK,09:38:09.80,8.421,100
SUPX,09:37:00.35,25.37,5
CBM,09:36:39.75,17.65,94
SDOG,09:37:25.03,34.1001,220
TDA,09:36:03.50,19.27,300
TDC,09:38:06.88,45.51,100
